Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
Abruf zu RVB: App Prototyping UX Frontend,"NOUS Wissensmanagement FlexCo, Softwareentwicklung",72200000 Softwareprogrammierung und -beratung,4.0,"221.760,00",24.07.2025
Abruf zu RVB: App Prototyping UX Frontend,"NOUS Wissensmanagement FlexCo, Softwareentwicklung",72200000 Softwareprogrammierung und -beratung,4.0,"95.040,00",24.07.2025
Abruf zu RVB: App Prototyping UX Frontend,"NOUS Wissensmanagement FlexCo, Softwareentwicklung",72200000 Softwareprogrammierung und -beratung,4.0,"95.040,00",24.07.2025
Abruf aus RVB: Dienstleistungen webMethods,IBM Österreich Internationale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"88.900,00",24.07.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.355,02",24.07.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"89.293,75",24.07.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.350,00",24.07.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",24.07.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",24.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development SharePoint,Tieto Austria GmbH,72200000 Softwareprogrammierung und -beratung,6.0,"80.670,70",23.07.2025
"Abruf aus Rahmenvertrag ""Digitale Checklisten"".",Augment IT AG,48000000 Softwarepaket und Informationssysteme,6.0,"68.000,00",22.07.2025
Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9.0,"114.864,00",21.07.2025
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"108.000,00",21.07.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"81.818,75",21.07.2025
Abruf aus Rahmenbereinbarung IT Dienstleistungen - Analyse und Delivery,Accenture GmbH,72200000 Softwareprogrammierung und -beratung,14.0,"174.042,69",16.07.2025
Abruf aus Rahmenvereinbarung im Bereich IT Dienstleistungen - Testing und Quality Assurance,Accenture GmbH,72220000 Systemberatung und technische Beratung,9.0,"133.980,20",16.07.2025
Abruf aus Rahmenvereinbarung IT Security Dienstleistungen – Pentester/Security Auditor,TÜV TRUST IT TÜV AUSTRIA GMBH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7.0,"466.500,00",16.07.2025
Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7.0,"313.828,50",16.07.2025
Abruf aus Rahmenvereinbarung Crossfunktionale IT-DL,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",9.0,"57.432,00",16.07.2025
Abrufbestellung aus Rahmenvereinbarung Crossfunktionale IT-DL,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7.0,"107.460,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development Web,Tieto Austria GmbH,72200000 Softwareprogrammierung und -beratung,16.0,"60.680,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,6.0,"70.010,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,16.0,"76.330,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Testing und Quality Assurance,EBCONT group GmbH,72220000 Systemberatung und technische Beratung,9.0,"59.614,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development Mobile,NOUS Wissensmanagement GmbH,72200000 Softwareprogrammierung und -beratung,3.0,"304.280,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Enterprise Architektur,active business consult Informationstechnologie GmbH,72200000 Softwareprogrammierung und -beratung,10.0,"168.490,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Development SharePoint,Wipro IT Services Austria GmbH,72200000 Softwareprogrammierung und -beratung,6.0,"59.520,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"306.801,00",16.07.2025
Beratungsleistungen zu Risikomanagement CSM-RISK  Los 1 Allgemein,RöschConsult Group GmbH,79417000 Sicherheitsberatung,4.0,"54.000,00",16.07.2025
Abruf aus Rahmenvereinbarung IT Dienstleistungen - UX Design,Evolit Consulting GmbH,72200000 Softwareprogrammierung und -beratung,8.0,"249.000,00",16.07.2025
Beratungsleistungen für agile Transformation,Rahmenvereinbarung mit mehreren Unternehmen,79411000 Allgemeine Managementberatung,2.0,"119.286,00",16.07.2025
Beratungsleistungen Organisation,AnneBreitner GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",3.0,"159.561,04",16.07.2025
Beratungsleistungen operative Unternehmensführung,Ernst & Young Parthenon,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",5.0,"73.185,00",16.07.2025
Betriebswirtschaftliche Beratungsleistungen,Rahmenvereinbarung mit mehreren Unternehmen,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,3.0,"180.480,00",16.07.2025
Abruf aus Rahmenvereinbarung ÖBB Datenkatalog,AVDM Audio Video Daten,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"260.837,50",16.07.2025
Abruf aus Rahmenvereinbarung Ressourcensteuerungstool Asset Management,DIVCON Consulting GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",2.0,"277.150,00",16.07.2025
"Abruf aus Rahmenvereinbarung ARP Standardsoftware für Fahrzeug-, Schicht- und Einsatzplanung",T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"2.728.818,74",15.07.2025
Abruf aus Rahmenvereinbarung SAP2S4,PwC Advisory Services GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"124.800,00",15.07.2025
Abruf aus Rahmenvereinbarung SPRINT 2.0,PwC Advisory Services GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"700.000,00",15.07.2025
Abruf aus Rahmenvereinbarung InfoSec Analyst Threat Netztrennung,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,3.0,"354.816,00",15.07.2025
Abruf aus Rahmenvereinbarung InfoSec Governance Manager Vorgehensmodelle/ Prozessdesign,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,4.0,"78.249,60",15.07.2025
Abruf aus Rahmenvereinbarung Projektleiter Information Security mit Fachanteil Security Architecture,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,3.0,"93.420,00",15.07.2025
Abruf aus Rahmenvereinbarung Development SharePoint,smartpoint IT consulting GmbH,72200000 Softwareprogrammierung und -beratung,6.0,"96.720,00",15.07.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"66.965,50",12.07.2025
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"150.790,00",11.07.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"90.252,00",10.07.2025
Abrufbestellung aus Rahmenvereinbarung Automic,Arrow ECS Internet Security AG,48000000 Softwarepaket und Informationssysteme,0.0,"69.695,00",07.07.2025
Beratungsleistungen strategische IT,Accenture GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"95.472,00",03.07.2025
Abruf aus Rahmenvereinbarung Beratungsleistungen für Informations- und Datenmanagement (IDM),Accenture GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",10.0,"76.160,00",03.07.2025
Abruf aus Rahmenvereinbarung Beratungsleistungen für Informations- und Datenmanagement (IDM),Accenture GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",10.0,"103.520,00",03.07.2025
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"12.045.962,04",03.07.2025
Abruf aus Rahmenvereinbarung: App Prototyping UX Frontend,Sclable Business Solutions GmbH,72200000 Softwareprogrammierung und -beratung,4.0,"240.800,00",03.07.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"61.535,00",02.07.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"75.210,00",02.07.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"85.800,00",02.07.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"63.344,00",02.07.2025
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"1.922.207,61",02.07.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"373.204,00",02.07.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"354.235,00",02.07.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"164.088,00",02.07.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"265.680,00",02.07.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"58.224,96",30.06.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"79.387,50",30.06.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"55.385,00",25.06.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"69.231,25",25.06.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"94.808,00",23.06.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"80.224,00",23.06.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"178.980,00",17.06.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",17.06.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"96.714,00",17.06.2025
Beratungsleistungen strategische IT,Ernst & Young Management,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"256.440,00",17.06.2025
Abrufbestellung aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",13.0,"540.000,00",17.06.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"393.480,00",17.06.2025
Abruf aus Rahmenvereinbarung für Security Dienstleistungen,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,5.0,"199.584,00",16.06.2025
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"66.936,90",13.06.2025
Markterkundung und Ausschreibungsbegleitung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",13.06.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"62.937,50",13.06.2025
Enterprise Identity & Access Management (EIAM),IPG Information Process,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,5.0,"221.024,92",09.06.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"232.728,00",09.06.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"183.192,00",09.06.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"70.196,00",09.06.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"64.266,00",09.06.2025
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"237.984,24",04.06.2025
Abruf aus Rahmenvereinbarung,HR Force EDV-Beratung GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"74.800,00",31.05.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.350,00",30.05.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.010,00",30.05.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"99.560,00",30.05.2025
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.140,00",29.05.2025
Abrufbestellung aus Rahmenvereinbarung im Bereich Information Security,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,3.0,"138.240,00",26.05.2025
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Bechtle Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"71.480,00",26.05.2025
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Bechtle Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"57.830,00",26.05.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"120.336,00",26.05.2025
Abruf aus Rahmenvereinbarung,Evolit Consulting GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"112.200,20",26.05.2025
Großküchenutensilien,,39222000 Gastronomiebedarf,,,23.05.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"74.115,00",21.05.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"85.333,50",21.05.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"62.688,75",20.05.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"55.385,00",20.05.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"75.525,00",20.05.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"187.660,00",20.05.2025
Abruf aus Rahmenvereinbarung,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"179.625,60",19.05.2025
„Debriefing“ im Rahmen von Psychometrischen Testungen,Aon Human Capital Solutions GmbH Talent & Assessment,80570000 Ausbildung in der Persönlichkeitsentwicklung,2.0,"125.580,00",19.05.2025
Dokumenten_Erstellungstool,INFINICA GmbH,72212311 Entwicklung von Dokumentenverwaltungssoftware,0.0,"72.000,00",16.05.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"70.848,00",16.05.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"234.528,00",14.05.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"114.864,00",14.05.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"104.976,00",14.05.2025
Enterprise Identity & Access Management (EIAM),IPG Information Process,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,5.0,"66.978,68",13.05.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"98.370,00",13.05.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"62.688,75",13.05.2025
Bestellung 4300976156,SAP Deutschland SE & Co. KG,80533200 Computerkurse,1.0,"50.000,00",12.05.2025
Markterkundung und Ausschreibungsbegleitung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",08.05.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"75.525,00",07.05.2025
IT Dienstleistungen ÖBB SAP Applikationen 2025 - 2027,Wired-Up Maciej Wójcik Zentrale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"231.610,00",06.05.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"60.168,00",01.05.2025
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"70.656,00",01.05.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"57.432,00",01.05.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"61.535,00",01.05.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"177.120,00",01.05.2025
Kofax Communication Server Maintenance&Support - Kofax Communication Server Maintenance&Support,Tungsten Automation Austria GmbH Tungsten Automation Austria GmbH,72267100 Wartung von Informationstechnologiesoftware,1.0,"80.503,51",30.04.2025
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1.535.050,00",30.04.2025
Hitrail Hermes VPN,HIT RAIL B.V.,72400000 Internetdienste,0.0,"216.416,00",30.04.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"149.340,00",30.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"136.740,00",30.04.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"502.390,00",30.04.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"193.940,00",30.04.2025
Abruf aus Rahmenvereinbarung: App Prototyping UX Frontend,Sclable Business Solutions GmbH,72200000 Softwareprogrammierung und -beratung,4.0,"206.400,00",30.04.2025
